favorite_stock_news_id,created_date,last_modified_date,industry_news_id,member_id
2,2024-10-10,2024-10-10,20241009183539306,10
3,2024-10-10,2024-10-10,20241009194033321,10
4,2024-10-10,2024-10-10,20241009234354309,4
5,2024-10-10,2024-10-10,20241009235842394,4
6,2024-10-10,2024-10-10,20241009234354309,1
7,2024-10-10,2024-10-10,20241009223401925,10
8,2024-10-10,2024-10-10,20241009224827981,22
9,2024-10-10,2024-10-10,20241009213009357,26
10,2024-10-10,2024-10-10,20241009093351130,26
11,2024-10-10,2024-10-10,20241009225744028,26
12,2024-10-10,2024-10-10,20241009182520029,30
14,2024-10-10,2024-10-10,20241009235728388,26
18,2024-10-10,2024-10-10,20241002100115320,26
20,2024-10-10,2024-10-10,20241009191344022,26
21,2024-10-10,2024-10-10,20241009235842394,19
